user_id,score0,score1,score2
3125,29+  11.  |  39+  2. [5.81],24+,43+
6294,29+  11.  |  32   8. [10.39],23+,33+
1135,31+  6.  |  35   5. [6.42],33+,33
2276,32   5.  |  35   5. [5.24],25+,33
1741,21+  43.  |  38   4. [13.49],22,20
2285,34+  1.  |  30   11. [4.06],33+,18+
2041,31+  6.  |  34   7. [7.25],28+,18+
3111,24   25.  |  27+  15. [19.36],22+,18+
6096,29   17.  |  25+  16. [19.50],21,NA
2273,21+  43.  |  41+  1. [6.75],20+,NA
10489,29   17.  |  25+  16. [19.50],20,NA
1134,29   17.  |  39+  2. [6.98],19+,NA
314,33+  3.  |  25+  16. [8.26],19+,NA
3185,31+  6.  |  30+  9. [8.44],19+,NA
1131,31+  6.  |  25+  16. [12.09],19+,NA
1573,30   10.  |  23   32. [18.17],19+,NA
85,29+  11.  |  25   24. [18.55],19+,NA
2042,34+  1.  |  28+  13. [4.50],19,NA
6184,29+  11.  |  25+  16. [16.22],19,NA
465,29+  11.  |  24+  28. [19.62],19,NA
8669,29   17.  |  25   24. [22.30],18+,NA
1228,33+  3.  |  30+  9. [5.77],17+,NA
857,23+  26.  |  25+  16. [24.78],17+,NA
3268,21+  43.  |  29   12. [23.37],15+,NA
6453,29+  11.  |  20   36. [22.95],13+,NA
6284,23+  26.  |  25+  16. [24.78],12,NA
1729,27.5   23.  |  28+  13. [17.81],9+,NA
10886,29   17.  |  20   36. [27.58],NA,NA
6102,27.5   23.  |  23   32. [27.85],NA,NA
6403,23+  26.  |  25   24. [28.34],NA,NA
6352,23+  26.  |  25   24. [28.34],NA,NA
10887,21+  43.  |  25+  16. [29.79],NA,NA
6285,23+  26.  |  24+  28. [29.96],NA,NA
10866,23+  26.  |  23+  30. [31.00],NA,NA
6287,23+  26.  |  23   32. [32.24],NA,NA
6192,29   17.  |  17+  55. [32.90],NA,NA
8468,23   38.  |  23+  30. [34.04],NA,NA
8627,23+  26.  |  20   36. [35.05],NA,NA
1574,23+  26.  |  20   36. [35.05],NA,NA
1229,23+  26.  |  20   36. [35.05],NA,NA
6209,23+  26.  |  19+  43. [37.23],NA,NA
780,22+  39.  |  22+  35. [37.65],NA,NA
8615,23+  26.  |  19   46. [38.27],NA,NA
2491,22+  39.  |  20   36. [39.74],NA,NA
8832,22+  39.  |  19+  43. [42.21],NA,NA
10888,22+  39.  |  18+  48. [44.32],NA,NA
3851,15+  54.  |  20   36. [47.36],NA,NA
3929,21+  43.  |  18   50. [48.64],NA,NA
6361,15+  54.  |  19+  43. [50.30],NA,NA
10889,20   49.  |  18   50. [50.73],NA,NA
6365,15+  54.  |  19   46. [51.71],NA,NA
10478,16+  51.  |  18   50. [52.00],NA,NA
8532,21+  43.  |  16+  60. [52.25],NA,NA
10890,15+  54.  |  18+  48. [52.81],NA,NA
2492,20   49.  |  17   57. [53.58],NA,NA
10891,16+  51.  |  17+  55. [53.72],NA,NA
10871,15+  54.  |  18   50. [54.68],NA,NA
8629,16+  51.  |  16   61. [56.55],NA,NA
10892,15   62.  |  18   50. [56.78],NA,NA
10870,15+  54.  |  17   57. [57.75],NA,NA
6308,15+  54.  |  16   61. [59.47],NA,NA
10893,15+  54.  |  15+  63. [60.43],NA,NA
10894,10+  68.  |  17   57. [62.80],NA,NA
10872,13   63.  |  12   65. [63.99],NA,NA
10895,11+  64.  |  15+  63. [64.00],NA,NA
10867,11+  64.  |  11   66. [65.74],NA,NA
10676,11   66.  |  11   66. [66.75],NA,NA
10868,11   66.  |  9+  69. [67.74],NA,NA
10873,7   69.  |  11   66. [67.99],NA,NA
