user_id,score0,score1,score2
2271,40+  2.  |  Top  1. [2.45],36,33+
2286,38+  9.  |  44+  7. [7.94],34+,32+
1228,40+  2.  |  48   4. [3.67],34+,30+
2301,39+  5.  |  23   33. [14.39],34+,30
2667,39+  5.  |  Top  1. [3.46],41+,29.5
1741,34   13.  |  31+  14. [15.49],37,29.5
1234,39+  5.  |  Top  1. [3.46],34+,27.5+
2273,Top  1.  |  39+  11. [3.46],37,24
2052,40+  2.  |  48   4. [3.67],33+,NA
8770,34   13.  |  46   6. [9.80],33+,NA
3427,34+  12.  |  39+  11. [12.00],33+,NA
103,34   13.  |  41   10. [12.65],33+,NA
1135,39   8.  |  30   19. [13.27],33+,NA
1744,34   13.  |  30   19. [18.76],30+,NA
3037,27+  29.  |  31+  14. [21.04],27,NA
10748,28+  26.  |  27+  26. [26.50],27,NA
6192,34   13.  |  39+  11. [13.86],26+,NA
107,29   24.  |  30+  17. [20.71],26+,NA
89,32   20.  |  30   19. [21.24],26+,NA
2588,29   24.  |  30   19. [23.22],26+,NA
3112,36   10.  |  44   8. [8.94],26,NA
4197,34   13.  |  41+  9. [12.00],26,NA
869,35+  11.  |  30+  17. [13.87],26,NA
652,34   13.  |  31+  14. [15.49],23+,NA
1138,32   20.  |  30   19. [21.24],23+,NA
8627,28+  26.  |  30   19. [24.37],12+,NA
1378,24+  32.  |  30   19. [26.53],NA,NA
2790,30.5+  23.  |  24   32. [27.13],NA,NA
1756,31+  22.  |  23   33. [27.55],NA,NA
4196,27+  29.  |  25+  28. [29.00],NA,NA
3185,28+  26.  |  23   33. [30.52],NA,NA
3899,25+  31.  |  24+  30. [30.75],NA,NA
2493,23+  34.  |  25+  28. [31.36],NA,NA
8629,20   39.  |  26+  27. [33.07],NA,NA
1586,24   33.  |  19   39. [36.33],NA,NA
3367,19+  43.  |  24+  30. [36.63],NA,NA
10749,23+  34.  |  19   39. [37.15],NA,NA
10964,20   39.  |  23   33. [37.38],NA,NA
11071,21+  37.  |  20   38. [37.50],NA,NA
6395,22+  36.  |  17+  44. [39.80],NA,NA
2492,20+  38.  |  18+  42. [40.19],NA,NA
3901,20   39.  |  19   39. [40.25],NA,NA
11072,20   39.  |  18+  42. [41.49],NA,NA
1774,9+  51.  |  22+  37. [43.65],NA,NA
11041,19+  43.  |  17   45. [44.50],NA,NA
1580,19   46.  |  16+  46. [46.00],NA,NA
10953,19+  43.  |  15+  48. [46.20],NA,NA
2578,16+  47.  |  15+  48. [47.74],NA,NA
11062,12+  50.  |  16   47. [48.48],NA,NA
11059,13+  48.  |  15   50. [48.99],NA,NA
11060,13   49.  |  8+  51. [49.99],NA,NA
11061,9+  51.  |  5   52. [51.75],NA,NA
8642,0  |  0 [53.00],NA,NA
