user_id,score0,score1,score2
1228,36+  7.  |  37+  10. [8.66],40,47+
314,Top  1.  |  Top  1. [3.00],39,46
1135,Top  1.  |  Top  1. [3.00],40+,44+
2271,Top  1.  |  42+  6. [4.42],44+,44
465,36+  7.  |  42+  6. [6.98],39+,31+
1741,Top  1.  |  Top  1. [3.00],45+,28
2285,Top  1.  |  Top  1. [3.00],40+,28
1743,30+  11.  |  38   9. [9.95],39+,24+
6294,16   15.  |  34+  16. [16.20],37+,NA
1729,14   18.  |  35+  12. [15.30],36,NA
11160,32   9.  |  34   20. [14.12],32+,NA
2061,32   9.  |  34   20. [14.12],32+,NA
2491,13+  19.  |  39+  8. [13.86],32+,NA
6393,31   10.  |  34   20. [14.49],32+,NA
2273,40   6.  |  Top  1. [4.24],29,NA
10551,13+  19.  |  34+  16. [20.49],28,NA
6365,15+  16.  |  35+  12. [14.42],27+,NA
6285,16+  13.  |  36+  11. [12.19],21+,NA
8770,23   12.  |  30+  22. [16.61],21+,NA
11161,13+  19.  |  34+  16. [20.49],21+,NA
1588,15   17.  |  26+  26. [21.02],21+,NA
11145,13+  19.  |  27+  25. [24.49],21+,NA
6284,16+  13.  |  35   15. [14.23],16+,NA
2060,13+  19.  |  35+  12. [17.66],16+,NA
11162,13+  19.  |  34+  16. [20.49],16+,NA
108,13+  19.  |  22+  27. [25.46],13+,NA
2492,13+  19.  |  30+  22. [23.49],9+,NA
11163,13+  19.  |  14+  28. [26.15],NA,NA
6403,12+  30.  |  30+  22. [26.49],NA,NA
11164,13+  19.  |  14   30. [27.06],NA,NA
1580,13+  19.  |  8   32. [27.71],NA,NA
11165,12+  30.  |  14+  28. [29.48],NA,NA
11090,10   32.  |  14   30. [31.24],NA,NA
