user_id,score0,score1
1576,Top  1.  |  Top  1. [4.06],53+
1741,Top  1.  |  Top  1. [4.06],35+
11161,Top  1.  |  Top  1. [4.06],35+
1573,54   11.  |  Top  1. [5.87],35+
6393,Top  1.  |  36+  6. [7.78],35+
1743,Top  1.  |  Top  1. [4.06],35
6403,Top  1.  |  36+  6. [7.78],35
10947,Top  1.  |  36+  6. [7.78],30+
10749,Top  1.  |  36+  6. [7.78],26+
1729,Top  1.  |  36+  6. [7.78],26+
10948,Top  1.  |  36+  6. [7.78],26+
10886,54   11.  |  36+  6. [11.25],NA
6352,47+  15.  |  36+  6. [12.85],NA
11162,47   16.  |  36+  6. [13.27],NA
1588,45+  19.  |  36+  6. [14.46],NA
10949,44+  20.  |  36+  6. [15.02],NA
11164,52   13.  |  33   19. [15.72],NA
10953,46+  17.  |  34+  18. [17.75],NA
6361,48   14.  |  16+  24. [18.33],NA
4397,44+  20.  |  36   17. [18.67],NA
10950,46+  17.  |  25+  21. [19.40],NA
3159,42   22.  |  27   20. [20.98],NA
6187,36+  23.  |  25+  21. [22.24],NA
10958,30+  24.  |  25   23. [23.49],NA
