user_id,score0,score1,score2
1559,Top  1.  |  23   29. [12.35],34+,28+
2273,41+  10.  |  40   3. [5.74],39,25+
463,Top  1.  |  19+  45. [15.49],29+,25+
1741,Top  1.  |  31   5. [5.00],28+,24+
1127,37+  18.  |  23+  16. [22.49],28,22
1214,Top  1.  |  28+  6. [5.70],29+,19
2261,39   14.  |  23+  16. [17.55],29,19
2272,37+  18.  |  27+  8. [15.17],28,17
855,Top  1.  |  35+  4. [4.47],27+,NA
2271,Top  1.  |  23+  16. [10.49],27+,NA
461,33+  32.  |  27+  8. [18.03],27+,NA
499,33+  32.  |  24   13. [21.33],27+,NA
1129,Top  1.  |  40+  1. [2.74],25+,NA
444,Top  1.  |  40+  1. [2.74],25+,NA
2041,Top  1.  |  23   29. [12.35],25+,NA
2040,38   15.  |  27+  8. [12.65],25+,NA
465,37+  18.  |  24   13. [17.94],25+,NA
4299,38   15.  |  23+  16. [18.76],25+,NA
880,27   40.  |  27+  8. [20.12],25+,NA
314,37+  18.  |  23+  16. [22.49],25+,NA
320,17   58.  |  27+  8. [24.49],25+,NA
2289,37+  18.  |  28+  6. [12.23],25,NA
2301,41   13.  |  23+  16. [16.91],25,NA
3889,37+  18.  |  23+  16. [22.49],23,NA
773,37+  18.  |  23+  16. [22.49],17+,NA
3125,41+  10.  |  23+  16. [15.56],17,NA
437,41+  10.  |  13+  56. [25.37],NA,NA
864,33   34.  |  23+  16. [27.55],NA,NA
308,18   54.  |  24   13. [27.62],NA,NA
979,38   15.  |  19+  45. [27.71],NA,NA
1576,32+  36.  |  23+  16. [28.34],NA,NA
1216,37+  18.  |  22   37. [29.56],NA,NA
1135,37   29.  |  23   29. [29.74],NA,NA
2014,34+  30.  |  23   29. [30.50],NA,NA
854,37+  18.  |  21   43. [31.45],NA,NA
2332,24+  50.  |  23+  16. [33.17],NA,NA
2042,37+  18.  |  19+  45. [33.23],NA,NA
3897,34+  30.  |  22   37. [34.04],NA,NA
4308,33   34.  |  22+  33. [34.50],NA,NA
4322,17   58.  |  23+  16. [36.33],NA,NA
312,27+  39.  |  22+  33. [36.68],NA,NA
2307,37+  18.  |  8   66. [38.96],NA,NA
1743,26+  42.  |  22+  33. [38.96],NA,NA
776,27   40.  |  22   37. [39.23],NA,NA
951,20+  52.  |  22+  33. [42.36],NA,NA
3112,26+  42.  |  21+  40. [42.47],NA,NA
1586,26+  42.  |  19+  45. [45.96],NA,NA
3427,26+  42.  |  19+  45. [45.96],NA,NA
1264,32+  36.  |  13+  56. [46.21],NA,NA
788,30   38.  |  13+  56. [47.15],NA,NA
3248,25+  47.  |  19+  45. [47.75],NA,NA
3779,25   49.  |  19+  45. [48.50],NA,NA
1378,26+  42.  |  14   53. [48.74],NA,NA
798,17   58.  |  21+  40. [49.60],NA,NA
61,16+  63.  |  21+  40. [51.22],NA,NA
459,17   58.  |  20   44. [51.38],NA,NA
1221,21   51.  |  16   52. [51.50],NA,NA
1228,25+  47.  |  13+  56. [52.71],NA,NA
1759,18+  53.  |  14   53. [53.50],NA,NA
2493,17   58.  |  14   53. [56.92],NA,NA
3062,17+  56.  |  13+  56. [57.49],NA,NA
1429,18   54.  |  8+  65. [59.52],NA,NA
1581,17+  56.  |  9   64. [60.13],NA,NA
1627,16+  63.  |  13+  56. [61.19],NA,NA
1054,16+  63.  |  12+  62. [63.25],NA,NA
1367,0  |  12+  62. [64.23],NA,NA
