user_id,score0,score1,score2
437,Top  1.  |  40+  24. [14.58],Top,44+
1214,Top  1.  |  Top  1. [7.14],45+,44+
93,Top  1.  |  Top  1. [7.14],43,42
1129,Top  1.  |  Top  1. [7.14],45+,39+
1364,Top  1.  |  Top  1. [7.14],36+,39+
3125,41+  17.  |  45   12. [14.90],35+,34+
864,40+  22.  |  44   14. [18.52],41+,32+
773,Top  1.  |  Top  1. [7.14],46+,30+
855,Top  1.  |  Top  1. [7.14],34+,NA
1221,Top  1.  |  41+  19. [12.87],34+,NA
463,Top  1.  |  40   27. [15.97],34+,NA
1127,Top  1.  |  Top  1. [7.14],34,NA
2041,41+  17.  |  Top  1. [10.54],33+,NA
2273,Top  1.  |  38+  35. [17.49],33,NA
61,41+  17.  |  41   21. [20.17],31+,NA
4299,Top  1.  |  Top  1. [7.14],30+,NA
3897,Top  1.  |  43+  15. [11.29],30+,NA
1135,38   36.  |  42+  16. [24.74],28+,NA
2014,39   28.  |  42+  16. [22.39],26+,NA
1489,40+  22.  |  Top  1. [12.12],25+,NA
979,41   21.  |  40   27. [25.10],25,NA
444,Top  1.  |  Top  1. [7.14],24+,NA
1741,Top  1.  |  41   21. [13.67],24+,NA
854,40+  22.  |  40+  24. [24.75],24+,NA
2040,41+  17.  |  44+  13. [15.51],23+,NA
1216,Top  1.  |  41+  19. [12.87],16+,NA
1576,36+  38.  |  42+  16. [25.75],NA,NA
461,40+  22.  |  40   27. [27.11],NA,NA
1228,38+  32.  |  40+  24. [28.94],NA,NA
3111,39   28.  |  40   27. [29.75],NA,NA
2296,35   44.  |  41   21. [31.29],NA,NA
3889,40+  22.  |  37+  39. [31.30],NA,NA
648,38+  32.  |  40   27. [31.70],NA,NA
465,37+  37.  |  40   27. [33.32],NA,NA
1134,36+  38.  |  40   27. [34.21],NA,NA
880,39   28.  |  37+  39. [34.35],NA,NA
314,36+  38.  |  39+  34. [36.41],NA,NA
451,38+  32.  |  37   42. [37.73],NA,NA
3248,36   41.  |  38+  35. [38.65],NA,NA
912,38+  32.  |  35.5   46. [39.47],NA,NA
649,40+  22.  |  26   64. [39.60],NA,NA
2351,36   41.  |  38   38. [39.71],NA,NA
776,39   28.  |  30   54. [39.91],NA,NA
893,35   44.  |  38+  35. [40.02],NA,NA
857,29+  48.  |  35.5   46. [47.24],NA,NA
911,27+  50.  |  37   42. [47.91],NA,NA
948,27+  50.  |  35.5+  44. [49.02],NA,NA
3982,34+  46.  |  29   55. [50.75],NA,NA
65,31+  47.  |  29   55. [51.30],NA,NA
312,35+  43.  |  27+  61. [51.63],NA,NA
2493,21+  67.  |  37+  39. [51.96],NA,NA
883,27+  50.  |  30+  48. [52.22],NA,NA
905,23+  61.  |  35.5+  44. [52.95],NA,NA
2761,28+  49.  |  28+  58. [53.77],NA,NA
2790,27   59.  |  30+  48. [54.82],NA,NA
4308,23+  61.  |  30+  48. [56.40],NA,NA
4322,23+  61.  |  30+  48. [56.40],NA,NA
2269,23+  61.  |  30+  48. [56.40],NA,NA
644,27+  50.  |  28+  58. [56.44],NA,NA
317,27+  50.  |  28+  58. [56.44],NA,NA
3136,27+  50.  |  27+  61. [57.86],NA,NA
1502,21+  67.  |  30+  48. [58.38],NA,NA
1378,23+  61.  |  29   55. [59.40],NA,NA
1235,27+  50.  |  24+  66. [59.92],NA,NA
2789,27+  50.  |  24+  66. [59.92],NA,NA
1586,27+  50.  |  23+  68. [61.26],NA,NA
877,27   59.  |  25+  65. [62.19],NA,NA
792,23   66.  |  27+  61. [63.97],NA,NA
2763,20+  69.  |  23+  68. [69.25],NA,NA
2507,18+  70.  |  23+  68. [70.00],NA,NA
1413,18+  70.  |  23+  68. [70.00],NA,NA
1054,18   72.  |  19   72. [72.00],NA,NA
