user_id,score0,score1,score2
3125,29+  18.  |  Top  1. [10.37],Top,37
1129,Top  1.  |  Top  1. [5.24],Top,23+
1214,Top  1.  |  Top  1. [5.24],Top,20
855,Top  1.  |  Top  1. [5.24],Top,20
93,30   17.  |  39+  23. [20.20],Top,20
1127,Top  1.  |  Top  1. [5.24],44+,20
437,Top  1.  |  44   12. [8.12],Top,19+
2301,32+  11.  |  Top  1. [7.42],44+,15+
1559,Top  1.  |  Top  1. [5.24],44,NA
463,29   26.  |  42   15. [19.94],38+,NA
864,31+  12.  |  35   39. [23.37],38+,NA
1221,31+  12.  |  41   17. [16.09],36+,NA
444,29+  18.  |  41   17. [19.94],36+,NA
2261,31+  12.  |  46   10. [11.83],36,NA
1489,Top  1.  |  Top  1. [5.24],35+,NA
1128,29+  18.  |  39+  23. [22.72],35+,NA
2347,31+  12.  |  37+  30. [20.66],35,NA
1216,31+  12.  |  43   13. [13.49],33,NA
1134,29+  18.  |  37+  30. [25.61],29+,NA
2306,Top  1.  |  Top  1. [5.24],22+,NA
2271,29+  18.  |  42+  14. [17.35],21+,NA
2667,29+  18.  |  39   26. [23.87],19,NA
4299,Top  1.  |  40+  21. [10.87],18+,NA
2273,28   38.  |  45+  11. [20.45],13,NA
2296,28+  28.  |  41   17. [24.52],13,NA
1741,Top  1.  |  41+  16. [9.38],1,NA
854,28+  28.  |  40+  21. [26.43],NA,NA
776,29+  18.  |  35+  33. [27.63],NA,NA
1772,28+  28.  |  39+  23. [27.93],NA,NA
3427,26+  42.  |  41   17. [28.04],NA,NA
1251,28+  28.  |  36+  32. [32.25],NA,NA
320,29+  18.  |  30   48. [32.29],NA,NA
465,29   26.  |  34+  40. [32.96],NA,NA
451,27+  39.  |  38+  28. [33.26],NA,NA
61,28+  28.  |  35+  33. [33.97],NA,NA
314,28+  28.  |  35+  33. [33.97],NA,NA
773,22   49.  |  39   26. [36.03],NA,NA
1576,28+  28.  |  34+  40. [36.50],NA,NA
318,28+  28.  |  34+  40. [36.50],NA,NA
65,27+  39.  |  35+  33. [37.45],NA,NA
649,21+  50.  |  38   29. [38.65],NA,NA
1124,28+  28.  |  28+  52. [41.50],NA,NA
4308,28+  28.  |  19   60. [44.16],NA,NA
461,26+  42.  |  31   47. [44.69],NA,NA
648,18   57.  |  35+  33. [45.18],NA,NA
1138,22+  48.  |  33+  43. [45.96],NA,NA
1135,13   60.  |  35+  33. [46.15],NA,NA
66,27   41.  |  28+  52. [46.62],NA,NA
979,21+  50.  |  33+  43. [47.60],NA,NA
89,21+  50.  |  33+  43. [47.60],NA,NA
1131,25   44.  |  28+  52. [48.29],NA,NA
3985,24+  45.  |  26+  55. [50.02],NA,NA
3112,20   56.  |  31+  46. [50.75],NA,NA
1149,21+  50.  |  29+  50. [51.00],NA,NA
2947,23+  47.  |  24   56. [51.30],NA,NA
3586,24+  45.  |  18+  61. [52.68],NA,NA
2763,20+  55.  |  29+  50. [52.70],NA,NA
3889,18   57.  |  30   48. [52.81],NA,NA
1367,21   54.  |  23   57. [55.48],NA,NA
1502,17   59.  |  19+  59. [59.00],NA,NA
2939,10   62.  |  21   58. [59.97],NA,NA
2928,11+  61.  |  17   63. [61.99],NA,NA
1429,6   64.  |  17+  62. [62.99],NA,NA
1852,7   63.  |  13   64. [63.50],NA,NA
