user_id,score0,score1,score2
854,Top  1.  |  Top  1. [16.79],36+,Top
2273,Top  1.  |  Top  1. [16.79],36+,Top
2301,Top  1.  |  Top  1. [16.79],34+,Top
437,Top  1.  |  Top  1. [16.79],33+,Top
314,Top  1.  |  Top  1. [16.79],36+,42+
1559,Top  1.  |  Top  1. [16.79],34+,42
855,Top  1.  |  Top  1. [16.79],37+,40+
3989,Top  1.  |  Top  1. [16.79],34+,35+
2272,Top  1.  |  Top  1. [16.79],32,NA
864,Top  1.  |  Top  1. [16.79],32,NA
3422,Top  1.  |  39   26. [24.95],30,NA
2667,Top  1.  |  Top  1. [16.79],26+,NA
2851,Top  1.  |  Top  1. [16.79],24,NA
1129,Top  1.  |  Top  1. [16.79],24,NA
2014,Top  1.  |  39+  24. [23.99],24,NA
1741,Top  1.  |  Top  1. [16.79],23+,NA
776,Top  1.  |  Top  1. [16.79],23+,NA
3111,Top  1.  |  Top  1. [16.79],23+,NA
2041,Top  1.  |  Top  1. [16.79],23+,NA
3577,Top  1.  |  Top  1. [16.79],23+,NA
461,Top  1.  |  39+  24. [23.99],23+,NA
3125,Top  1.  |  Top  1. [16.79],23,NA
519,Top  1.  |  Top  1. [16.79],20+,NA
773,34   55.  |  Top  1. [25.92],19+,NA
2261,Top  1.  |  Top  1. [16.79],13+,NA
1489,Top  1.  |  Top  1. [16.79],2+,NA
1135,Top  1.  |  38+  28. [26.55],NA,NA
103,Top  1.  |  38+  28. [26.55],NA,NA
979,Top  1.  |  38+  28. [26.55],NA,NA
463,Top  1.  |  38+  28. [26.55],NA,NA
1221,Top  1.  |  38+  28. [26.55],NA,NA
3897,Top  1.  |  37   34. [28.27],NA,NA
538,Top  1.  |  34+  36. [29.49],NA,NA
506,Top  1.  |  33   41. [31.60],NA,NA
2947,Top  1.  |  33   41. [31.60],NA,NA
2285,Top  1.  |  33   41. [31.60],NA,NA
61,Top  1.  |  32+  45. [34.45],NA,NA
1216,Top  1.  |  32+  45. [34.45],NA,NA
2057,Top  1.  |  32+  45. [34.45],NA,NA
1264,Top  1.  |  32+  45. [34.45],NA,NA
2046,Top  1.  |  32+  45. [34.45],NA,NA
3889,Top  1.  |  32+  45. [34.45],NA,NA
2286,35+  47.  |  39   26. [36.22],NA,NA
312,Top  1.  |  32   57. [36.60],NA,NA
1389,Top  1.  |  31+  58. [37.39],NA,NA
320,Top  1.  |  31+  58. [37.39],NA,NA
1576,Top  1.  |  30+  64. [39.08],NA,NA
1134,Top  1.  |  20   69. [40.27],NA,NA
451,35+  47.  |  37+  33. [40.42],NA,NA
318,34+  53.  |  34+  36. [44.49],NA,NA
2840,33+  58.  |  36   35. [45.63],NA,NA
2289,35+  47.  |  33   41. [45.87],NA,NA
69,35+  47.  |  32+  45. [50.00],NA,NA
2954,27   64.  |  34   39. [50.35],NA,NA
3427,26+  67.  |  34+  36. [50.53],NA,NA
3112,26+  67.  |  33+  40. [52.54],NA,NA
3131,34   55.  |  32+  45. [53.18],NA,NA
775,33+  58.  |  32+  45. [54.82],NA,NA
3280,35+  47.  |  31   62. [55.62],NA,NA
1560,35+  47.  |  30+  64. [56.72],NA,NA
1256,34+  53.  |  30+  64. [58.97],NA,NA
172,26+  67.  |  32+  45. [59.03],NA,NA
2042,34   55.  |  31   62. [59.16],NA,NA
1396,33+  58.  |  31+  58. [59.50],NA,NA
797,25+  72.  |  32+  45. [60.51],NA,NA
531,30+  62.  |  31+  58. [60.74],NA,NA
593,18+  80.  |  32+  45. [64.15],NA,NA
1367,27+  63.  |  23+  68. [65.45],NA,NA
3136,27   64.  |  18+  70. [68.88],NA,NA
1759,27   64.  |  18+  70. [68.88],NA,NA
516,33+  58.  |  13+  79. [69.42],NA,NA
788,25   74.  |  29   67. [70.41],NA,NA
1592,26+  67.  |  18+  70. [70.97],NA,NA
1502,24+  75.  |  18+  70. [74.24],NA,NA
543,26+  67.  |  13+  79. [74.76],NA,NA
3903,23+  77.  |  18+  70. [74.97],NA,NA
4305,21+  79.  |  18+  70. [75.94],NA,NA
1754,25+  72.  |  13+  79. [76.63],NA,NA
340,18+  80.  |  18+  70. [77.13],NA,NA
1385,24+  75.  |  13+  79. [78.20],NA,NA
4003,18+  80.  |  15+  77. [79.22],NA,NA
3261,23   78.  |  13+  79. [79.49],NA,NA
1900,18+  80.  |  14+  78. [79.73],NA,NA
