user_id,score0,score1,score2
437,39+  1.  |  36+  2. [1.58],36+,41
1559,38   2.  |  35+  4. [4.12],35+,39
855,37+  3.  |  35+  4. [5.83],35+,35
2261,37   6.  |  35+  4. [7.14],36+,29
1741,28+  28.  |  35+  4. [17.49],36+,28+
854,35   9.  |  32+  14. [12.25],36+,27
2271,35   9.  |  30+  23. [15.97],36,22.5
3125,37+  3.  |  37   1. [2.00],36+,13+
1129,33+  12.  |  30+  23. [19.23],35+,NA
2273,11+  67.  |  35+  4. [23.86],35+,NA
532,35+  8.  |  32   17. [11.83],35,NA
1221,35   9.  |  27+  35. [19.62],34+,NA
2041,28+  28.  |  35+  4. [17.49],33+,NA
864,33+  12.  |  30+  23. [19.23],33+,NA
314,32+  19.  |  30+  23. [22.58],33+,NA
649,33+  12.  |  35+  4. [11.10],33,NA
2667,21   59.  |  36+  2. [12.14],33,NA
1389,33   18.  |  32   17. [17.75],32.5,NA
463,36+  7.  |  35+  4. [7.71],30+,NA
2014,37+  3.  |  29   33. [11.49],29,NA
79,32   22.  |  31+  19. [21.71],29,NA
912,33+  12.  |  35+  4. [11.10],28+,NA
1264,28+  28.  |  32+  14. [23.24],27+,NA
3889,32+  19.  |  35+  4. [13.04],23+,NA
1576,32+  19.  |  32+  14. [17.32],23+,NA
563,33+  12.  |  27+  35. [23.63],23+,NA
451,32   22.  |  30+  23. [24.22],NA,NA
172,31+  25.  |  30+  23. [25.25],NA,NA
1749,32   22.  |  29+  31. [26.92],NA,NA
519,28+  28.  |  31+  19. [27.17],NA,NA
1124,33+  12.  |  25+  51. [27.33],NA,NA
1772,29   26.  |  29+  31. [28.89],NA,NA
3131,27+  45.  |  31+  19. [31.04],NA,NA
103,27   50.  |  31+  19. [32.49],NA,NA
3422,28+  28.  |  30   29. [32.59],NA,NA
776,28+  28.  |  28+  34. [34.99],NA,NA
3111,28+  28.  |  27+  35. [37.23],NA,NA
165,28+  28.  |  27+  35. [37.23],NA,NA
3897,28+  28.  |  27+  35. [37.23],NA,NA
1251,27+  45.  |  30   29. [37.24],NA,NA
3427,28+  28.  |  27   43. [39.34],NA,NA
893,28+  28.  |  26+  44. [40.69],NA,NA
3126,28+  28.  |  26+  44. [40.69],NA,NA
538,28+  28.  |  26+  44. [40.69],NA,NA
788,29   26.  |  18+  61. [40.70],NA,NA
2493,28+  28.  |  26   49. [42.21],NA,NA
2046,27+  45.  |  27+  35. [42.54],NA,NA
2840,28+  28.  |  24   54. [44.09],NA,NA
2954,27   50.  |  27+  35. [44.53],NA,NA
1367,28+  28.  |  22   57. [45.50],NA,NA
1135,27+  45.  |  26+  44. [46.50],NA,NA
461,23+  58.  |  27+  35. [47.25],NA,NA
786,28+  28.  |  18+  61. [47.43],NA,NA
4308,27+  45.  |  23   55. [50.84],NA,NA
531,27   50.  |  25+  51. [51.50],NA,NA
3066,25+  54.  |  26   49. [51.70],NA,NA
2947,27   50.  |  22+  56. [53.70],NA,NA
1759,24+  55.  |  24+  53. [54.48],NA,NA
2670,1+  68.  |  26+  44. [55.93],NA,NA
1396,24+  55.  |  22   57. [56.75],NA,NA
1592,24+  55.  |  18+  61. [59.16],NA,NA
3903,20   60.  |  19   59. [59.75],NA,NA
2680,19+  61.  |  19   59. [61.22],NA,NA
2677,19+  61.  |  18+  61. [62.75],NA,NA
1054,19+  61.  |  17+  65. [64.24],NA,NA
3084,19+  61.  |  17   67. [64.97],NA,NA
3067,19+  61.  |  16+  68. [65.45],NA,NA
1385,18+  66.  |  17+  65. [65.75],NA,NA
