user_id,score0,score1,score2
437,Top  1.  |  Top  1. [3.87],39,47+
855,Top  1.  |  Top  1. [3.87],Top,42+
1214,Top  1.  |  Top  1. [3.87],Top,42+
1129,Top  1.  |  34+  11. [8.31],42+,42+
463,Top  1.  |  32+  27. [13.08],41,42
1741,Top  1.  |  38+  5. [6.24],38+,39+
1221,41+  12.  |  38   9. [10.39],38,38
773,35+  19.  |  33+  13. [19.47],37+,24+
1489,35   23.  |  34+  11. [16.26],37,NA
2273,Top  1.  |  Top  1. [3.87],36+,NA
1772,35+  19.  |  36   10. [14.32],36,NA
854,Top  1.  |  38+  5. [6.24],35+,NA
2041,34+  24.  |  38+  5. [12.75],35+,NA
2667,38   16.  |  33+  13. [17.20],35+,NA
2286,34+  24.  |  33+  13. [21.51],35+,NA
979,35+  19.  |  33+  13. [19.47],34+,NA
648,Top  1.  |  33   25. [12.37],34,NA
2014,36+  17.  |  33+  13. [17.99],33+,NA
318,34+  24.  |  33+  13. [21.51],33+,NA
4299,Top  1.  |  38+  5. [6.24],33,NA
2261,Top  1.  |  33+  13. [10.54],32+,NA
1234,33+  28.  |  33+  13. [22.96],31+,NA
776,38+  13.  |  33+  13. [16.09],26+,NA
1576,38+  13.  |  32+  27. [19.97],26+,NA
314,38+  13.  |  29+  31. [21.33],26+,NA
3889,36+  17.  |  32+  27. [22.33],26+,NA
3111,32+  30.  |  33+  13. [23.56],NA,NA
312,35+  19.  |  29+  31. [25.81],NA,NA
2264,33+  28.  |  33   25. [26.96],NA,NA
3422,34   27.  |  32+  27. [27.74],NA,NA
649,21+  44.  |  33+  13. [28.85],NA,NA
2271,20   47.  |  33+  13. [29.49],NA,NA
634,31+  32.  |  29+  31. [32.75],NA,NA
2347,31+  32.  |  29+  31. [32.75],NA,NA
1502,31+  32.  |  26+  38. [36.33],NA,NA
2493,23+  38.  |  28   35. [37.42],NA,NA
1713,30+  35.  |  26+  38. [37.68],NA,NA
1776,30+  35.  |  26+  38. [37.68],NA,NA
688,23+  38.  |  27+  36. [37.95],NA,NA
685,32   31.  |  21+  46. [38.37],NA,NA
645,23+  38.  |  26+  38. [40.00],NA,NA
2017,24   37.  |  21+  46. [41.92],NA,NA
698,23+  38.  |  23+  43. [41.95],NA,NA
679,23+  38.  |  23+  43. [41.95],NA,NA
2840,21+  44.  |  26+  38. [42.43],NA,NA
651,19+  48.  |  27   37. [42.80],NA,NA
3123,23   43.  |  23+  43. [43.50],NA,NA
1055,21+  44.  |  19+  50. [48.14],NA,NA
1367,19+  48.  |  21+  46. [48.49],NA,NA
654,19+  48.  |  19+  50. [50.49],NA,NA
1429,19+  48.  |  19+  50. [50.49],NA,NA
724,17   55.  |  21+  46. [51.11],NA,NA
678,17+  52.  |  19+  50. [52.24],NA,NA
668,17+  52.  |  19   54. [53.50],NA,NA
1787,17+  52.  |  17   55. [53.99],NA,NA
