user_id,score0,score1,score2
1214,34+  25.  |  Top  1. [10.20],30+,38+
437,Top  1.  |  Top  1. [3.16],29+,38+
2276,35   21.  |  Top  1. [9.49],28+,33+
855,38+  11.  |  33+  8. [9.59],28+,33+
1221,Top  1.  |  21+  45. [10.95],Top,32+
2039,32+  36.  |  31+  9. [19.37],30,22+
1129,39+  5.  |  28+  12. [10.06],29+,22+
2301,39+  5.  |  31+  9. [8.44],28+,22+
2574,32+  36.  |  Top  1. [12.57],28+,NA
2272,32+  36.  |  28+  12. [23.09],28+,NA
2667,39+  5.  |  22+  24. [15.37],26+,NA
2336,35+  15.  |  22+  24. [23.48],25+,NA
314,39+  5.  |  22+  24. [15.37],23+,NA
2289,35+  15.  |  22+  24. [23.48],23+,NA
1170,35   21.  |  27   20. [21.48],22+,NA
2370,Top  1.  |  10   66. [12.85],21+,NA
4299,Top  1.  |  Top  1. [3.16],21,NA
3131,38   13.  |  28+  12. [13.25],21,NA
2309,39+  5.  |  29+  11. [9.08],20+,NA
444,23   80.  |  Top  1. [17.89],20+,NA
1234,35   21.  |  27+  17. [20.12],20+,NA
2041,32+  36.  |  Top  1. [12.57],19+,NA
3422,34+  25.  |  28+  12. [18.73],19+,NA
463,35+  15.  |  27+  17. [17.75],18,NA
1772,35+  15.  |  28   16. [16.73],17+,NA
1124,35+  15.  |  26+  22. [19.84],17+,NA
1135,37   14.  |  22   40. [24.25],NA,NA
516,39+  5.  |  7+  81. [25.02],NA,NA
2332,32+  36.  |  27   20. [28.46],NA,NA
1741,32+  36.  |  26+  22. [29.81],NA,NA
2368,33+  28.  |  22+  24. [29.96],NA,NA
3577,29+  49.  |  27+  17. [30.45],NA,NA
648,33   30.  |  22+  24. [32.00],NA,NA
61,33   30.  |  22+  24. [32.00],NA,NA
79,33   30.  |  22+  24. [32.00],NA,NA
864,38+  11.  |  1+  91. [32.35],NA,NA
912,34+  25.  |  22   40. [33.05],NA,NA
3427,33   30.  |  22   40. [36.95],NA,NA
854,32   44.  |  22+  24. [37.44],NA,NA
3989,35+  15.  |  7+  81. [38.23],NA,NA
318,30   48.  |  22+  24. [38.88],NA,NA
776,29+  49.  |  22+  24. [40.28],NA,NA
1773,29+  49.  |  22+  24. [40.28],NA,NA
172,32+  36.  |  22   40. [40.73],NA,NA
2032,28+  56.  |  22+  24. [42.00],NA,NA
1489,35   21.  |  8   79. [42.29],NA,NA
3998,28   57.  |  22+  24. [42.37],NA,NA
2931,33+  28.  |  9   69. [44.98],NA,NA
60,26+  64.  |  22+  24. [46.28],NA,NA
4308,31+  46.  |  21+  45. [47.24],NA,NA
1134,21+  81.  |  22+  24. [50.51],NA,NA
649,33   30.  |  8   79. [50.83],NA,NA
320,29+  49.  |  20+  52. [52.00],NA,NA
1593,33   30.  |  7+  81. [52.09],NA,NA
1241,29+  49.  |  20   54. [52.74],NA,NA
2790,31+  46.  |  16.5+  57. [53.26],NA,NA
308,27   62.  |  21+  45. [54.77],NA,NA
2493,32+  36.  |  8+  74. [54.79],NA,NA
1389,32   44.  |  9+  67. [54.81],NA,NA
2014,26   73.  |  22   40. [55.94],NA,NA
765,26+  64.  |  21+  45. [57.13],NA,NA
1713,27+  58.  |  19+  55. [57.47],NA,NA
797,29   55.  |  16.5+  57. [57.92],NA,NA
857,26+  64.  |  20+  52. [59.75],NA,NA
2840,26   73.  |  21+  45. [59.80],NA,NA
3889,27+  58.  |  16.5+  57. [60.25],NA,NA
1384,23+  78.  |  21+  45. [61.38],NA,NA
2865,26+  64.  |  19+  55. [61.43],NA,NA
1946,19   88.  |  21+  45. [64.99],NA,NA
2334,27+  58.  |  9   69. [65.00],NA,NA
786,27+  58.  |  9   69. [65.00],NA,NA
880,29+  49.  |  7+  81. [65.58],NA,NA
339,26   73.  |  16.5+  57. [67.41],NA,NA
3199,26+  64.  |  9+  67. [67.75],NA,NA
312,25+  77.  |  16.5+  57. [68.53],NA,NA
775,27   62.  |  8+  74. [68.92],NA,NA
3136,23+  78.  |  16.5+  57. [69.20],NA,NA
2947,26+  64.  |  9   69. [69.48],NA,NA
1472,20+  83.  |  16.5+  57. [71.37],NA,NA
792,26+  64.  |  8+  74. [71.89],NA,NA
816,20   85.  |  16.5+  57. [72.01],NA,NA
4003,17   90.  |  16.5+  57. [74.09],NA,NA
543,26+  64.  |  7+  81. [75.35],NA,NA
1367,21   82.  |  9   69. [76.30],NA,NA
519,26+  64.  |  7   87. [77.58],NA,NA
4303,20+  83.  |  8+  74. [79.66],NA,NA
3112,26   73.  |  7   87. [81.20],NA,NA
4283,17+  89.  |  8+  74. [82.24],NA,NA
3222,19+  86.  |  7+  81. [84.99],NA,NA
3211,19+  86.  |  7   87. [87.49],NA,NA
2761,6+  91.  |  7   87. [89.74],NA,NA
