user_id,score0,score1,score2
1214,Top  1.  |  Top  1. [3.00],44+,44+
855,34+  21.  |  47+  4. [11.12],43+,41+
1129,42+  9.  |  Top  1. [4.24],44+,41
1364,Top  1.  |  Top  1. [3.00],44,41
2336,41+  10.  |  46   9. [10.22],44+,40+
4299,41+  10.  |  47+  4. [7.78],47,38+
811,Top  1.  |  44+  23. [10.61],41,32+
2039,35+  18.  |  47+  4. [10.22],39+,23+
437,Top  1.  |  47+  4. [4.97],39,NA
1741,Top  1.  |  47   8. [6.00],37+,NA
2368,Top  1.  |  45+  11. [8.08],37+,NA
2574,Top  1.  |  45   19. [9.60],37+,NA
463,41+  10.  |  45+  11. [12.63],37+,NA
2301,40   15.  |  45   19. [17.54],37+,NA
2306,40+  14.  |  44+  23. [18.71],37+,NA
2285,35+  18.  |  44+  23. [21.79],37+,NA
314,39   17.  |  34+  41. [26.56],37,NA
2261,41   13.  |  45+  11. [13.73],36+,NA
1221,Top  1.  |  1   95. [20.68],36+,NA
854,33+  27.  |  45+  11. [20.68],36+,NA
3131,34+  21.  |  46   9. [14.62],34+,NA
864,39+  16.  |  45+  11. [15.23],34+,NA
2667,31   38.  |  45+  11. [23.63],34+,NA
3422,34+  21.  |  44   28. [25.10],33+,NA
3577,31   38.  |  45+  11. [23.63],30+,NA
1489,33+  27.  |  45   19. [24.59],29,NA
1773,31+  34.  |  45   19. [26.98],NA,NA
649,34   25.  |  42+  29. [27.66],NA,NA
1134,31+  34.  |  44+  23. [29.79],NA,NA
3427,35+  18.  |  33   50. [31.28],NA,NA
648,32   33.  |  41   33. [33.00],NA,NA
1559,33+  27.  |  37+  37. [33.26],NA,NA
65,34   25.  |  34   43. [33.69],NA,NA
3111,31+  34.  |  41+  32. [33.70],NA,NA
776,33+  27.  |  34+  41. [34.99],NA,NA
911,31+  34.  |  38+  35. [35.25],NA,NA
308,14+  86.  |  45+  11. [35.82],NA,NA
1234,33+  27.  |  34   43. [36.23],NA,NA
1772,28   51.  |  44+  23. [36.40],NA,NA
2014,28+  44.  |  42+  29. [37.55],NA,NA
318,28+  44.  |  42+  29. [37.55],NA,NA
320,30+  40.  |  37   39. [39.74],NA,NA
1264,29   42.  |  37+  37. [39.92],NA,NA
912,34+  21.  |  28+  74. [40.94],NA,NA
3889,33+  27.  |  31+  57. [42.77],NA,NA
1576,28+  44.  |  35+  40. [43.36],NA,NA
103,25   59.  |  40   34. [44.98],NA,NA
2289,25+  56.  |  38   36. [45.30],NA,NA
1135,30+  40.  |  33   50. [45.67],NA,NA
857,28   51.  |  34   43. [48.56],NA,NA
880,25+  56.  |  34   43. [50.36],NA,NA
2370,28   51.  |  33+  47. [50.44],NA,NA
905,28+  44.  |  32+  54. [50.84],NA,NA
1713,29   42.  |  31+  57. [51.33],NA,NA
1389,25   59.  |  33+  47. [53.44],NA,NA
1946,28+  44.  |  31+  57. [53.98],NA,NA
803,28+  44.  |  31+  57. [53.98],NA,NA
2493,25+  56.  |  33   50. [54.18],NA,NA
2840,23+  64.  |  33+  47. [56.07],NA,NA
523,28   51.  |  31+  57. [57.32],NA,NA
1558,28+  44.  |  29   70. [57.97],NA,NA
792,24   63.  |  32+  54. [58.86],NA,NA
172,28   51.  |  31   68. [60.25],NA,NA
69,22   72.  |  33   50. [61.73],NA,NA
1384,23+  64.  |  31+  57. [63.73],NA,NA
948,21+  77.  |  32+  54. [65.08],NA,NA
3141,23   68.  |  31+  57. [65.17],NA,NA
788,22+  70.  |  31+  57. [66.11],NA,NA
923,24+  61.  |  28+  74. [67.69],NA,NA
312,22   72.  |  31+  57. [67.73],NA,NA
3211,22   72.  |  31+  57. [67.73],NA,NA
3776,24+  61.  |  27+  76. [68.81],NA,NA
1502,22+  70.  |  29   70. [71.00],NA,NA
1754,23+  64.  |  27+  76. [71.02],NA,NA
3222,23+  64.  |  27+  76. [71.02],NA,NA
893,22   72.  |  31   68. [71.20],NA,NA
2687,23   68.  |  24   80. [74.03],NA,NA
3136,8   93.  |  31+  57. [76.14],NA,NA
3147,16   84.  |  29   70. [77.50],NA,NA
3903,22   72.  |  21   84. [78.84],NA,NA
109,20   80.  |  26+  79. [79.50],NA,NA
84,14+  86.  |  29   70. [79.55],NA,NA
3220,21   78.  |  21+  81. [79.97],NA,NA
2874,19   81.  |  21+  81. [81.50],NA,NA
856,20+  79.  |  17+  85. [81.95],NA,NA
865,18   83.  |  15+  86. [84.49],NA,NA
3138,14+  86.  |  21+  81. [85.19],NA,NA
4079,18+  82.  |  10+  89. [85.67],NA,NA
3915,15   85.  |  10   91. [87.95],NA,NA
3163,14+  86.  |  11   87. [88.00],NA,NA
3916,14+  86.  |  10+  89. [89.00],NA,NA
4081,14   92.  |  11   87. [89.72],NA,NA
4095,14+  86.  |  7+  92. [90.48],NA,NA
3225,7+  95.  |  7+  92. [93.74],NA,NA
4074,8   93.  |  6+  94. [93.75],NA,NA
