user_id,score0,score1,score2
1364,5T5z 7 6,4T4z 10 9,4T4z 10 9
2276,5T5z 7 6,3T4z 3 4,3T3z 7 6
2257,5T5z 8 8,3T4z 12 12,2T3z 6 7
2272,5T5z 7 7,2T4z 3 11,1T3z 3 5
2052,5T5z 10 9,2T4z 5 9,1T3z 3 8
2291,5T5z 8 8,2T4z 5 9,1T1z 1 1
79,5T5z 10 8,2T4z 5 11,NA
2309,5T5z 8 8,2T4z 6 7,NA
2337,5T5z 12 9,2T4z 7 9,NA
2334,5T5z 7 7,2T4z 8 14,NA
1124,5T5z 8 7,2T3z 5 8,NA
3582,5T5z 8 8,2T2z 7 5,NA
2947,5T5z 13 7,2T2z 12 8,NA
3983,5T5z 8 6,1T4z 5 18,NA
1138,5T5z 8 7,1T3z 2 4,NA
2574,5T5z 14 6,1T2z 2 3,NA
1778,5T5z 6 6,1T2z 3 5,NA
855,4T5z 4 7,1T2z 6 10,NA
646,5T5z 5 5,0T3z 0 8,NA
1131,5T5z 10 5,0T3z 0 11,NA
2332,4T5z 4 8,NA,NA
3422,4T5z 4 8,NA,NA
2385,4T5z 5 6,NA,NA
1559,4T5z 7 6,NA,NA
854,4T5z 7 12,NA,NA
1241,4T5z 5 5,NA,NA
523,4T5z 8 9,NA,NA
857,4T5z 5 9,NA,NA
648,4T5z 6 5,NA,NA
1255,4T5z 6 5,NA,NA
2307,4T5z 10 6,NA,NA
1489,4T5z 10 10,NA,NA
3991,4T5z 11 8,NA,NA
3581,4T5z 8 10,NA,NA
3460,4T5z 9 11,NA,NA
1773,4T5z 12 9,NA,NA
314,4T5z 13 13,NA,NA
67,4T5z 11 5,NA,NA
2174,4T5z 13 11,NA,NA
3131,4T4z 4 4,NA,NA
490,4T4z 5 5,NA,NA
318,4T4z 10 4,NA,NA
1361,3T5z 5 15,NA,NA
1472,4T4z 7 6,NA,NA
3855,3T5z 4 7,NA,NA
4306,3T5z 7 9,NA,NA
165,3T5z 9 10,NA,NA
1214,3T4z 4 4,NA,NA
634,3T4z 6 4,NA,NA
1389,3T4z 4 10,NA,NA
486,3T4z 7 4,NA,NA
3998,3T4z 5 4,NA,NA
1926,3T4z 6 6,NA,NA
1129,2T5z 3 14,NA,NA
1149,3T4z 6 6,NA,NA
1256,2T5z 4 8,NA,NA
3127,2T4z 2 4,NA,NA
685,3T4z 7 10,NA,NA
1741,2T4z 5 7,NA,NA
4299,3T4z 8 7,NA,NA
3136,2T4z 5 14,NA,NA
3989,3T4z 8 9,NA,NA
532,3T4z 9 6,NA,NA
437,2T4z 7 7,NA,NA
89,2T4z 7 7,NA,NA
1145,3T4z 13 15,NA,NA
3854,2T3z 8 6,NA,NA
645,3T3z 5 3,NA,NA
2670,3T3z 5 3,NA,NA
765,1T5z 1 13,NA,NA
3428,1T4z 1 6,NA,NA
1234,3T3z 7 5,NA,NA
4284,1T3z 1 6,NA,NA
2667,2T5z 2 10,NA,NA
3779,1T3z 2 4,NA,NA
3061,2T5z 3 11,NA,NA
775,1T3z 2 5,NA,NA
85,2T5z 7 14,NA,NA
1502,1T3z 2 5,NA,NA
10489,2T5z 8 10,NA,NA
793,1T3z 2 7,NA,NA
2179,2T3z 3 3,NA,NA
776,2T3z 5 3,NA,NA
3486,1T3z 2 10,NA,NA
4304,1T3z 3 7,NA,NA
1262,2T3z 6 6,NA,NA
3199,2T3z 7 6,NA,NA
3591,1T3z 4 4,NA,NA
4303,2T3z 7 10,NA,NA
3280,1T3z 5 11,NA,NA
3596,1T3z 6 11,NA,NA
1170,2T2z 4 4,NA,NA
1357,1T5z 1 17,NA,NA
864,1T2z 2 3,NA,NA
3211,1T4z 1 9,NA,NA
319,0T3z 0 13,NA,NA
327,0T2z 0 2,NA,NA
3427,1T3z 1 7,NA,NA
865,1T3z 4 6,NA,NA
4003,0T2z 0 3,NA,NA
3268,1T2z 3 2,NA,NA
109,0T2z 0 7,NA,NA
2508,1T2z 3 3,NA,NA
2808,0T2z 0 10,NA,NA
3781,1T2z 4 5,NA,NA
11452,0T1z 0 2,NA,NA
2631,1T2z 4 6,NA,NA
3651,0T1z 0 4,NA,NA
1534,0T3z 0 8,NA,NA
3440,0T1z 0 6,NA,NA
11453,0T1z 0 8,NA,NA
11454,0T3z 0 11,NA,NA
3278,0T0z 0 0,NA,NA
3213,0T2z 0 2,NA,NA
3270,0T2z 0 8,NA,NA
