user_id,score0,score1,score2
4299,23+  36.  |  Top  1. [12.27],36+,Top
2947,17+  58.  |  Top  1. [15.26],32,Top
2574,Top  1.  |  Top  1. [2.65],31+,Top
1129,Top  1.  |  37   7. [3.74],36+,39+
2307,32+  21.  |  31+  12. [17.15],31+,39+
2276,37+  10.  |  30   15. [12.65],37+,34+
2301,35+  12.  |  30   15. [14.97],36+,22
2272,35+  12.  |  29+  18. [16.94],33+,8
1361,32+  21.  |  29+  18. [22.41],31+,NA
2041,33+  18.  |  29+  18. [19.74],30,NA
855,41+  4.  |  Top  1. [3.74],29+,NA
1170,36+  11.  |  24+  36. [22.12],29+,NA
2257,33+  18.  |  35+  10. [13.78],29,NA
1214,Top  1.  |  Top  1. [2.65],27+,NA
1135,23+  36.  |  Top  1. [12.27],26+,NA
854,32+  21.  |  30   15. [19.80],26+,NA
320,32+  21.  |  28+  24. [24.50],26+,NA
3131,39+  5.  |  31   13. [8.46],26,NA
2332,39+  5.  |  29+  18. [10.62],26,NA
648,38+  8.  |  27+  26. [14.87],26,NA
1559,35+  12.  |  36+  8. [10.58],24+,NA
1749,38+  8.  |  25+  30. [16.62],24+,NA
1134,23+  36.  |  32   11. [21.75],24+,NA
2101,35+  12.  |  26   27. [19.80],18+,NA
463,17+  58.  |  36   9. [24.46],17,NA
811,39   7.  |  30+  14. [9.90],9+,NA
2370,35+  12.  |  24+  36. [24.96],NA,NA
3125,32+  21.  |  25+  30. [28.22],NA,NA
3422,32+  21.  |  25+  30. [28.22],NA,NA
1773,31+  29.  |  26   27. [28.74],NA,NA
437,23+  36.  |  29+  18. [29.69],NA,NA
2667,23+  36.  |  29+  18. [29.69],NA,NA
93,34+  17.  |  24   54. [30.99],NA,NA
2052,23+  36.  |  28+  24. [32.46],NA,NA
2033,30+  32.  |  25+  30. [32.75],NA,NA
3998,30+  32.  |  25+  30. [32.75],NA,NA
1778,32+  21.  |  24+  36. [33.02],NA,NA
864,32+  21.  |  24+  36. [33.02],NA,NA
3989,33+  18.  |  22+  64. [36.08],NA,NA
3427,31   31.  |  24+  36. [37.14],NA,NA
1138,20+  52.  |  26   27. [38.34],NA,NA
318,29+  35.  |  24+  36. [39.47],NA,NA
1124,31+  29.  |  24   54. [40.83],NA,NA
165,30+  32.  |  24   54. [43.18],NA,NA
3136,23+  36.  |  24+  36. [43.74],NA,NA
1389,23+  36.  |  24+  36. [43.74],NA,NA
3582,23+  36.  |  24+  36. [43.74],NA,NA
1396,21   51.  |  24+  36. [47.64],NA,NA
505,18   54.  |  24+  36. [49.70],NA,NA
490,18   54.  |  24+  36. [49.70],NA,NA
793,18   54.  |  24+  36. [49.70],NA,NA
518,17   76.  |  25+  30. [49.86],NA,NA
69,23+  36.  |  23.5+  60. [50.79],NA,NA
1741,23+  36.  |  22+  64. [54.27],NA,NA
4303,23+  36.  |  22+  64. [54.27],NA,NA
3127,23+  36.  |  22+  64. [54.27],NA,NA
776,17+  58.  |  24+  36. [54.40],NA,NA
1264,17+  58.  |  24+  36. [54.40],NA,NA
2790,20+  52.  |  24   54. [54.46],NA,NA
1221,23+  36.  |  21+  76. [57.73],NA,NA
1384,23+  36.  |  21   80. [58.65],NA,NA
2493,16+  78.  |  24+  36. [59.67],NA,NA
1058,17+  58.  |  24   54. [61.30],NA,NA
1251,17+  58.  |  24   54. [61.30],NA,NA
3586,16   83.  |  24+  36. [61.32],NA,NA
65,16   83.  |  24+  36. [61.32],NA,NA
3268,18   54.  |  22   74. [64.30],NA,NA
3901,17+  58.  |  22+  64. [67.49],NA,NA
4306,17+  58.  |  22+  64. [67.49],NA,NA
3248,17+  58.  |  22+  64. [67.49],NA,NA
857,17+  58.  |  22+  64. [67.49],NA,NA
3889,17+  58.  |  22+  64. [67.49],NA,NA
3991,17   76.  |  23+  61. [68.87],NA,NA
4284,17+  58.  |  22   74. [70.39],NA,NA
1502,16+  78.  |  23+  61. [70.43],NA,NA
3596,17+  58.  |  21+  76. [71.79],NA,NA
3199,17+  58.  |  18   82. [73.84],NA,NA
3428,16+  78.  |  22+  64. [74.03],NA,NA
3211,17+  58.  |  15+  83. [75.18],NA,NA
788,17+  58.  |  15+  83. [75.18],NA,NA
2929,17+  58.  |  15+  83. [75.18],NA,NA
1926,15   91.  |  23+  61. [75.32],NA,NA
3213,16+  78.  |  21+  76. [78.74],NA,NA
2217,17+  58.  |  4+  97. [80.32],NA,NA
3779,16+  78.  |  15+  83. [82.46],NA,NA
339,16   83.  |  20+  81. [82.73],NA,NA
312,3+  97.  |  21+  76. [86.70],NA,NA
4003,15+  87.  |  15+  83. [86.73],NA,NA
4283,16   83.  |  13+  89. [87.69],NA,NA
3270,15+  87.  |  13+  89. [89.74],NA,NA
1492,15+  87.  |  13+  89. [89.74],NA,NA
11615,14   93.  |  15   88. [90.47],NA,NA
2069,15+  87.  |  8+  95. [91.93],NA,NA
2845,13+  94.  |  13+  89. [92.98],NA,NA
3278,13+  94.  |  13+  89. [92.98],NA,NA
1372,15   91.  |  8+  95. [93.48],NA,NA
10949,13+  94.  |  12   94. [94.50],NA,NA
