user_id,score0,score1
109,5.630,5.54
105,5.716,FALL
1372,6.040,7.76
7613,5.686,FALL
98,5.956,5.75
1480,5.964,6.01
3471,5.923,FALSE START
2929,5.873,FALL
865,6.142,5.86
120,5.803,6.30
11460,5.755,6.55
11414,5.799,6.97
154,6.099,7.36
3361,6.149,7.49
2069,5.871,FALL
198,5.909,FALSE START
2845,6.170,NA
74,6.199,NA
1492,6.245,NA
3270,6.252,NA
2962,6.280,NA
490,6.388,NA
494,6.391,NA
3211,6.430,NA
11701,6.492,NA
2272,6.497,NA
899,6.503,NA
2276,6.562,NA
165,6.564,NA
106,6.650,NA
3422,6.671,NA
1263,6.721,NA
2332,6.753,NA
2947,6.798,NA
857,6.987,NA
648,7.072,NA
1778,7.114,NA
2217,7.136,NA
3136,7.149,NA
2307,7.204,NA
1214,7.268,NA
2052,7.282,NA
1926,7.377,NA
3213,7.463,NA
1773,7.464,NA
2257,7.479,NA
1559,7.694,NA
523,7.713,NA
793,7.753,NA
2101,7.788,NA
1124,7.804,NA
855,7.849,NA
318,7.864,NA
3998,8.038,NA
1278,8.062,NA
3991,8.095,NA
1058,8.115,NA
2041,8.173,NA
864,8.197,NA
811,8.285,NA
1138,8.324,NA
2574,8.329,NA
3131,8.346,NA
505,8.357,NA
1250,8.455,NA
2033,8.519,NA
1754,8.540,NA
776,8.778,NA
854,8.789,NA
1170,8.834,NA
3582,8.843,NA
3901,8.858,NA
1741,9.238,NA
3362,9.691,NA
2493,9.795,NA
11615,10.078,NA
1129,10.149,NA
1389,10.594,NA
10949,10.722,NA
320,12.071,NA
93,fall,NA
3278,False start,NA
3268,False start,NA
1361,False start,NA
